Run Identifier,Overall Hallucination %,Unfaithfulness Risk,Direct Contradiction Prob,Semantic Drift Risk,Fabricated Entities Count
DeptEduc_Anthrop,0.19095477386934673,0.19848711264591598,0.13523485954183753,0.43395629420352344,85
DeptEduc_GPT_4.1,0.18592964824120603,0.19080750859546097,0.09817678490501168,0.4593756845848045,26
DeptEduc_Llama_4_Mav,0.1658291457286432,0.17898472365086673,0.10561386562760126,0.44493867554257266,26
Scott&Scott_Anthrop,0.19597989949748743,0.19156403896954885,0.13552378323825293,0.4170008168448156,53
Scott&Scott_GPT_4.1,0.20100502512562815,0.19899063161311054,0.1439721794667683,0.43736185545298323,17
Scott&Scott_Llama_4_Mav,0.1507537688442211,0.16394729335081878,0.1077727075637323,0.4370606968450786,20
