Run Identifier,Overall Hallucination %,Unfaithfulness Risk,Direct Contradiction Prob,Semantic Drift Risk,Fabricated Entities Count
DeptEduc_Anthrop,0.9396984924623115,0.8553959798994974,0.2917150753768844,0.44340301507537694,85
DeptEduc_GPT_4.1,0.9296482412060302,0.861064824120603,0.2481904522613065,0.4558502512562814,26
DeptEduc_Llama_4_Mav,0.9246231155778895,0.8747869346733668,0.27204020100502513,0.44765276381909547,27
Scott&Scott_Anthrop,0.9798994974874372,0.9539035175879397,0.17201959798994976,0.4630542713567839,53
Scott&Scott_GPT_4.1,0.9597989949748744,0.9293266331658292,0.1148145728643216,0.4553130653266332,17
Scott&Scott_Llama_4_Mav,0.9447236180904522,0.925935175879397,0.10625678391959799,0.45492311557788945,20
